label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,15N-Arg-serum-3h,15N-Arg-serum-4h,15N-Arg-bat,15N-Arg-brain,15N-Arg-cecal,15N-Arg-co,15N-Arg-gwat,15N-Arg-liver,15N-Arg-Lung,15N-Arg-pc,15N-Arg-Q,15N-Arg-si
,94,1,12,74.024681,13.541,0.835409,C12 PARENT,glycine,glycine,C2H5NO2,0.241,0.927589,74.024689,1638538.38,1678928.62,3333187.75,3584328,1809821.62,6784633.5,270191.41,13469696,17670496,26284784,13950648,6720316
,94,2,12,75.028008,13.555,0.854262,C13-label-1,glycine,glycine,C2H5NO2,0.255,1.321933,74.024689,40002.1,31691.21,72769.16,78630.2,35139.45,153107.95,2679.32,316273.34,428089.41,605417.31,311741.16,160065.05
,94,3,0,76.031349,13.577,0.189795,C13-label-2,glycine,glycine,C2H5NO2,0.277,1.505178,74.024689,0,0,0,0,0,0,0,0,2014.61,4468.61,0,0
,94,4,11,75.021683,13.538,0.853657,N15-label-1,glycine,glycine,C2H5NO2,0.238,1.322044,74.024689,3317.08,9092.56,12108.74,7203.88,3331.61,21569.09,719.49,55635.85,72555.9,120659.13,50894.42,24082.71
,95,5,12,88.040314,13.308,0.838325,C12 PARENT,alanine,alanine,C3H7NO2,0.318,0.953237,88.040314,5534132,4995054,47256668,73790488,4657681,49511052,1227346.12,26690946,12216005,72931304,194210416,42427632
,95,6,12,89.043663,13.306,0.851341,C13-label-1,alanine,alanine,C3H7NO2,0.316,1.028177,88.040314,182746.83,171483.17,1507032.62,2426863.75,138177.78,1585587,38561.21,887851.19,420313.97,2413362,6540636.5,1408959.5
,95,7,8,90.046997,13.297,0.851171,C13-label-2,alanine,alanine,C3H7NO2,0.307,1.2709,88.040314,2093.47,1730.13,23324.57,19398.1,0,27811.62,0,31669.05,4550.33,32196.69,75558.29,12938.02
,95,8,2,91.050362,13.225,0.3821,C13-label-3,alanine,alanine,C3H7NO2,0.235,1.173102,88.040314,659.11,627.97,13357.61,0,0,14060.4,0,34034.74,2090.41,0,0,7670.51
,95,9,6,90.040627,13.263,0.851053,C13N15-label-1-1,alanine,alanine,C3H7NO2,0.273,1.779386,88.040314,583.86,0,5078.43,0,0,11507.27,0,37069.24,2047.92,8436.74,14206.12,7010.11
,95,10,0,92.04744,13.348,0.122218,C13N15-label-3-1,alanine,alanine,C3H7NO2,0.358,0.663083,88.040314,0,0,0,0,0,0,464.38,0,0,0,0,0
,95,11,12,89.037315,13.29,0.852526,N15-label-1,alanine,alanine,C3H7NO2,0.3,1.371,88.040314,43028.25,35962.08,442756.84,276113.34,24741.47,401444.38,11410.65,1183698.38,167453.42,397395.91,858117.69,313013.91
,96,12,9,102.056023,13.325,0.838009,C12 PARENT,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.905,0.299028,102.056007,474056.16,835092,3995376.25,22859840,26284470,9504451,341430.19,3062165.25,4060961,11121452,2269751.25,7101526
,96,13,10,103.059364,13.322,0.853283,C13-label-1,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.902,0.370145,102.056007,17123.4,37293.57,170347.42,1129260.88,1100982.62,426256.97,13806.08,139367.86,193527.75,522739.59,62046.2,318188.03
,96,14,4,104.062721,13.324,0.283607,C13-label-2,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.904,0.366577,102.056007,0,509.41,0,40053.14,4274.76,6986.93,0,0,1809.15,18621.91,0,4061.55
,96,15,1,105.065979,13.328,0.223974,C13-label-3,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.908,1.307073,102.056007,0,0,0,0,0,0,0,0,0,6371.54,0,6074.75
,96,16,4,106.069374,13.303,0.848504,C13-label-4,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.883,0.935068,102.056007,1080.28,1851.07,3973.57,0,0,7010.39,886.93,55255.69,1644.33,36587.03,0,2233.51
,96,17,0,104.056458,13.357,0.186498,C13N15-label-1-1,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.937,0.14664,102.056007,0,0,0,0,0,0,0,0,0,3421.87,0,0
,96,18,11,103.053062,13.327,0.854254,N15-label-1,4-aminobutyrate,4-aminobutyrate,C4H9NO2,1.907,0.222101,102.056007,7478.84,13924.59,63666.1,162619.61,338049.91,189045.08,8053.73,108532.66,62157.45,197532.42,13693.54,169170.73
,97,19,12,104.035309,13.64,0.830344,C12 PARENT,serine,serine,C3H7NO3,0.24,0.073335,104.035309,2147405.75,2081786.38,1269830.88,3661717.25,704444.56,1177031.75,150974.75,1533119.12,921592.31,1899768.88,1040232.44,895429.06
,97,20,11,105.038574,13.637,0.847233,C13-label-1,serine,serine,C3H7NO3,0.237,0.944244,104.035309,78536.35,71919.27,33799.49,124089.65,13176.23,34615.25,3009.38,51469.14,23263.7,70364.82,34196.54,23497.12
