label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,470,470,12,71.013863,11.802,0.838951,[M-H]-,C12 PARENT,Pyruvaldehyde,Pyruvaldehyde,C3H4O2,NA,0.107435,71.013863,3626109,3834074,3616813,2469440.25,3981588.25,3295775.75,3688509.25,3362874.25,3395894,3318315.25,2670302.75,3686399.25,4389.37,1565.79
,470,625,12,72.02018,11.797,0.844716,,D2-label-1,Pyruvaldehyde,Pyruvaldehyde,C3H4O2,NA,0.741539,71.013863,48486.2,55642.99,46424.71,45838.04,46231.99,53210.21,26095.23,34639.43,15199.24,18379.27,15333.25,16445.14,207.03,0
,470,624,12,73.018127,11.788,0.847456,,O18-label-1,Pyruvaldehyde,Pyruvaldehyde,C3H4O2,NA,0.417945,71.013863,81161.45,83945.7,77855.22,67679.26,84763.07,83507.29,55772.2,47510.91,34377.71,33515.3,28358.31,39872.55,0,0
,394,394,12,75.008797,9.052,0.831023,[M-H]-,C12 PARENT,Glycolic acid,Glycolic acid,C2H4O3,0.037782,0.406853,75.008797,399605.59,314986.72,585699.31,530983.94,656486.94,566137.81,583722.69,457432.78,728385.81,814270.5,754717.94,790997.19,116455,70874.79
,394,626,10,76.015091,9.064,0.795213,,D2-label-1,Glycolic acid,Glycolic acid,C2H4O3,0.0261,0.602201,75.008797,3211.46,2755.92,6221.56,4185.65,6241.85,5395.07,9769.92,11048.7,12105.93,12337.54,10827.02,15082.55,192.9,0
,394,395,13,77.013069,9.058,0.778678,,O18-label-1,Glycolic acid,Glycolic acid,C2H4O3,0.031893,0.79253,75.008797,8337.2,7228.51,12069.61,13764.1,17318.78,12590.02,12942.24,11478.04,16189.57,20808.87,15623.26,16949.25,1309.76,617.28
,372,372,14,96.960098,13.392,0.825602,[M-H]-,C12 PARENT,sulfate,sulfate,H2SO4,0.442446,0.078686,96.960098,1480187.5,1312514.62,2100219.25,1920912.12,1897851.12,2137489,1404649.62,1470412,1678846,1563984.62,1153616.62,2038572.62,607638.56,593663.81
,372,373,14,98.964378,13.387,0.830698,,O18-label-1,sulfate,sulfate,H2SO4,0.446816,0.308369,96.960098,43496.83,35009.58,68762.05,62523.5,52987.82,74496.45,34714.77,44928.16,46024.99,36368.57,18839.03,51612.25,2499.7,3075.04
,366,366,13,101.024414,4.247,0.825554,[M-H]-,C12 PARENT,acetoacetate,acetoacetate,C4H6O3,0.07059,0.07552,101.024414,999993.06,862651.81,1477400.12,2958849.25,4589543,4607996.5,994760.69,483581.12,1075446.38,1280258.38,1709845.5,1662911.38,32197.27,39391.7
,366,367,5,102.030777,4.244,0.849449,,D2-label-1,acetoacetate,acetoacetate,C4H6O3,0.06779,0.82253,101.024414,4785.69,3564.52,8690.75,23629.21,30837.18,38837.41,4221.11,1060.21,1613.12,4958.22,4067.05,2444.18,8550.71,7253.45
,366,368,11,103.028687,4.228,0.847266,,O18-label-1,acetoacetate,acetoacetate,C4H6O3,0.051644,0.222154,101.024414,15834.59,14278.87,16384.87,56183.08,66550.94,76005.8,10935.66,9539.26,17901.19,16160.92,21632.84,20334.9,733.5,415.47
,346,346,12,115.003662,11.565,0.828943,[M-H]-,C12 PARENT,fumarate,fumarate,C4H4O4,1.424632,0.199021,115.003662,253670.25,295142.84,301318.12,304701.59,332984.16,275036.44,310883.03,271041.41,234041.64,333895.88,223648.58,291593.34,2402.77,6004.59
,346,347,12,116.009972,11.591,0.846609,,D2-label-1,fumarate,fumarate,C4H4O4,1.398526,0.13153,115.003662,5282.15,6249.93,4252.35,5648.84,8116.7,5518.92,4325.27,3913.76,2553.74,3509.68,2195.74,3937.95,0,0
,346,348,12,117.007927,11.588,0.848793,,O18-label-1,fumarate,fumarate,C4H4O4,1.401771,0,115.003662,9218.33,13481.73,12953.67,15464.97,15907.93,14106.29,11167.63,9485.96,7450.82,8027.75,5269.92,7539.28,0,0
,362,362,14,124.00724,10.837,0.835394,[M-H]-,C12 PARENT,taurine,taurine,C2H7NO3S,0.31028,1.230474,124.00724,28757986,35637764,25156806,28396610,26561194,26125878,26650950,30514730,23208694,27330136,21382616,33148606,13049.25,5220.96
,362,628,12,125.013611,10.835,0.841425,,D2-label-1,taurine,taurine,C2H7NO3S,0.31212,0.427199,124.00724,15468.84,22993.2,17040.17,16822.25,15256.69,14630.71,211665.23,194050.95,151337.86,172608.48,128130.85,181834.56,0,0
,362,627,12,126.011597,10.813,0.842856,,O18-label-1,taurine,taurine,C2H7NO3S,0.334433,0.302726,124.00724,134228.38,149839.45,134848.83,146431.17,129553.23,135850.12,139961.33,155802.73,121223.01,140210.33,120385.5,161432.77,0,0
,449,449,13,131.082596,17.721,0.830464,[M-H]-,C12 PARENT,ornithine,ornithine,C5H12N2O2,1.538801,0,131.082596,216117,205661.89,277516.84,250683.95,364218.22,263119.78,375698.72,284043.38,513483.88,505514,385073.91,558225.69,1261.41,518.94
,449,630,6,132.088882,17.772,0.813168,,D2-label-1,ornithine,ornithine,C5H12N2O2,1.589724,0,131.082596,641.39,477.67,564.29,421.71,981.34,482.42,1604.12,1692.68,1888.39,1931.46,1433.24,1886.56,0,0
,449,629,8,133.086914,17.744,0.641543,,O18-label-1,ornithine,ornithine,C5H12N2O2,1.562143,0.573264,131.082596,2644.18,2874.29,3330.36,3017.93,4981.38,4247.74,3420.77,3527.74,4044.77,4742.89,2415.3,5279.92,166.81,0
