label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,841_F,841_R,842_F,842_R,843_F,843_R,844_F,844_R,845_F,845_R,846_F,846_R,847_F,848_F,848_R,849_F,850_F,851_F,blank
,1,1,19,124.006577,11.098,0.767636,[M-H]-,C12 PARENT,Taurine,Taurine,C2H7NO3S,0.318,6.583037,124.006577,39021024.00,21626250.00,21011162.00,35463300.00,32650122.00,35202788.00,30512566.00,21249832.00,40984520.00,35427044.00,29574546.00,27931798.00,27810246.00,12091605.00,26578792.00,24109014.00,28583024.00,26896534.00,260959.30
,1,2,18,125.010086,11.100,0.770424,,C13-label-1,Taurine,Taurine,C2H7NO3S,0.320,5.248572,124.006577,869952.06,495090.41,476534.91,793404.25,739250.44,797293.81,676243.31,488704.78,872072.75,699400.75,650443.75,622174.06,616554.00,288971.25,618133.19,528516.25,636723.75,576365.00,5162.45
,1,3,17,126.013412,11.101,0.766111,,C13-label-2,Taurine,Taurine,C2H7NO3S,0.321,5.448958,124.006577,2546066.00,1947740.62,1219173.62,2422871.25,1230940.62,1527808.62,1361170.62,1142107.38,299382.53,201395.39,1112888.25,1404960.50,6648.82,1751356.00,2383905.00,10212.17,6215.66,4474.24,26166.55
,1,4,6,126.007172,11.109,0.804665,,C13N15-label-1-1,Taurine,Taurine,C2H7NO3S,0.329,4.783214,124.006577,11198.45,5571.45,1841.13,3544.43,7204.65,7187.14,5402.73,3604.76,7143.81,6041.37,6245.50,6408.52,6914.50,2633.78,3055.65,5388.33,4006.90,6734.85,0.00
,1,5,7,127.010498,11.116,0.703585,,C13N15-label-2-1,Taurine,Taurine,C2H7NO3S,0.336,5.045771,124.006577,47045.98,62145.64,14891.95,65933.45,26341.89,69758.38,26312.46,38710.36,8094.25,10841.78,21598.36,40951.37,10282.25,16900.84,37040.21,8230.63,11585.67,8366.66,0.00
,1,6,16,125.003815,11.112,0.778614,,N15-label-1,Taurine,Taurine,C2H7NO3S,0.332,4.882640,124.006577,144229.98,79741.25,65751.27,117407.03,123947.65,134534.66,111846.69,82338.20,150002.62,129827.23,105725.27,96929.27,100534.84,46951.45,107715.38,97356.13,94321.96,89230.57,465.15
,7,7,14,116.071083,11.288,0.631112,[M-H]-,C12 PARENT,L-Valine,L-Valine,C5H11NO2,0.278,5.324131,116.071083,3443913.75,4409220.50,4566572.00,5528489.50,3829677.75,2958316.75,2891192.75,1987792.50,4500628.50,3287558.00,3139299.00,4136612.00,3020852.75,2669176.75,3712846.00,1894730.50,1543075.38,2924246.75,413048.84
,7,8,12,117.074501,11.289,0.627097,,C13-label-1,L-Valine,L-Valine,C5H11NO2,0.279,4.757169,116.071083,188991.36,240002.17,245968.45,298256.72,212066.73,170457.08,155674.89,110442.79,247333.95,183075.55,175803.77,230522.02,164672.08,140695.67,197522.27,106647.07,85518.01,164964.75,21858.83
,7,9,4,118.077896,11.307,0.683225,,C13-label-2,L-Valine,L-Valine,C5H11NO2,0.297,4.329068,116.071083,3398.82,4053.30,3967.90,6060.06,3414.74,2710.29,2892.17,1851.37,4628.46,3650.79,3011.65,3793.65,3258.39,2815.44,3832.50,1571.35,1105.88,2214.70,0.00
,7,10,0,119.081436,11.264,0.052896,,C13-label-3,L-Valine,L-Valine,C5H11NO2,0.254,2.754947,116.071083,274.02,0.00,0.00,589.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268.32,0.00,218.35,0.00,0.00,0.00,0.00,0.00
,7,11,1,120.084541,11.294,0.579131,,C13-label-4,L-Valine,L-Valine,C5H11NO2,0.284,4.828525,116.071083,9867.38,6692.63,9559.20,8500.53,5472.85,4885.44,5433.72,2084.14,1942.20,756.98,5469.66,6733.79,0.00,6980.03,12528.54,0.00,0.00,0.00,0.00
,7,12,7,121.087891,11.302,0.641334,,C13-label-5,L-Valine,L-Valine,C5H11NO2,0.292,4.851521,116.071083,422277.50,276104.00,415058.25,383953.97,261806.05,209029.77,235895.17,135475.67,90493.47,30774.06,247031.38,277400.84,471.65,285553.50,476970.22,772.90,597.37,848.51,0.00
,7,13,1,118.071541,11.269,0.542307,,C13N15-label-1-1,L-Valine,L-Valine,C5H11NO2,0.259,4.652381,116.071083,2680.71,2126.12,2689.12,3377.18,1802.26,1883.44,1986.41,1279.28,863.19,477.85,2033.21,2188.96,747.35,1916.92,4087.90,212.17,0.00,483.38,0.00
