label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,1,1,7,147.029800,12.510,0.790680,[M-H]-,C12 PARENT,2-hydroxyglutarate,2-hydroxyglutarate,C5H8O5,0.827765,0.622681,147.029800,81630.09,84791.19,161323.23,163815.77,164793.52,169678.08,125214.81,72091.02,133139.48,155485.38,98197.54,175064.19,3249.08,803.63
,1,2,11,149.034149,12.508,0.816617,,O18-label-1,2-hydroxyglutarate,2-hydroxyglutarate,C5H8O5,0.830494,0.000000,147.029800,1636.59,1749.30,4692.44,7057.73,4842.63,4876.02,2936.05,2030.24,3258.39,4253.57,2390.78,3767.24,194.44,187.36
,3,3,11,129.055664,2.476,0.756897,[M-H]-,C12 PARENT,2-keto-isocaproate / 2-keto-methylvalerate,2-keto-isocaproate / 2-keto-methylvalerate,C6H10O3,0.093756,0.472936,129.055664,15757208.00,20139316.00,14267889.00,12560260.00,18615750.00,13946019.00,18737600.00,16556315.00,14112659.00,14008077.00,11369927.00,12617736.00,41129.87,9326.91
,3,6,12,131.059952,2.449,0.745939,,O18-label-1,2-keto-isocaproate / 2-keto-methylvalerate,2-keto-isocaproate / 2-keto-methylvalerate,C6H10O3,0.121301,0.116426,129.055664,425581.41,645300.69,356145.25,353446.62,519419.41,476289.66,395881.50,468465.75,285458.38,279653.78,235155.62,253714.50,0.00,0.00
,7,7,11,115.040031,2.538,0.777781,[M-H]-,C12 PARENT,2-keto-isovalerate,2-keto-isovalerate,C5H8O3,0.087809,0.331597,115.040031,6442390.50,7656488.00,7312646.50,8031540.00,8665792.00,7837704.00,8754965.00,6084972.50,6180600.50,7578200.00,5900969.50,7382836.00,44543.86,30052.70
,7,8,11,117.044312,2.545,0.799774,,O18-label-1,2-keto-isovalerate,2-keto-isovalerate,C5H8O3,0.094745,0.000000,115.040031,193537.83,268694.72,187948.11,243318.38,259061.38,229913.31,191159.61,150819.83,124472.84,180719.44,87089.71,166638.52,1014.32,315.02
,9,9,11,103.040047,8.006,0.679088,[M-H]-,C12 PARENT,3-hydroxybutyrate,3-hydroxybutyrate,C4H8O3,0.948869,0.222129,103.040047,2544083.25,3178822.00,1842758.62,8629709.00,2974950.75,4396539.50,1841436.62,968762.31,774248.94,1401259.38,1138644.38,1090083.38,4573.12,5012.62
,9,14,11,104.046318,7.887,0.708763,,D2-label-1,3-hydroxybutyrate,3-hydroxybutyrate,C4H8O3,1.068476,0.219981,103.040047,123128.02,162532.95,78703.26,492070.91,150377.27,242797.05,64969.64,47741.53,20162.36,39261.98,25936.39,32157.10,123.97,411.88
,9,13,8,105.044296,8.012,0.696229,,O18-label-1,3-hydroxybutyrate,3-hydroxybutyrate,C4H8O3,0.942919,0.145260,103.040047,96201.59,110087.28,62631.14,333318.09,88400.47,161110.23,46834.25,28486.98,20263.66,39412.53,20781.80,30874.81,226.48,0.00
,15,15,13,255.232437,2.345,0.823532,[M-H]-,C12 PARENT,C16:0,C16:0,C16H32O2,0.131276,2.032648,255.232437,1481619968.00,1335152768.00,1302079488.00,1726635392.00,1320843392.00,1160334336.00,1098644096.00,1161063552.00,832836288.00,1026240064.00,945006848.00,862706880.00,114108552.00,91188032.00
,15,16,12,256.238373,2.336,0.827045,,D2-label-1,C16:0,C16:0,C16H32O2,0.140355,3.453841,255.232437,3058098.00,2519837.75,2936031.25,3134553.25,3020020.00,3753889.25,19971454.00,25395430.00,12506573.00,18253066.00,13404148.00,14519579.00,186799.80,107822.31
