label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,exp005_free_25,exp005_free_26,exp005_free_27,exp005_free_28,exp005_free_29,exp005_free_30,exp005_free_31,exp005_free_32,exp005_free_33,exp005_free_34,exp005_free_35,exp005_free_36,exp005_free_blank1,exp005_free_blank2
,4,4,12,127.050247,5.302,0.832239,[M+H]+,C12 PARENT,thymine,thymine,C5H6N2O2,0.231533,0.360301,127.050247,815324.00,877657.06,1211007.38,1625012.12,1445467.88,1522411.12,983014.69,950367.94,1494282.00,1595931.12,1159988.38,1480744.88,159.30,330.22
,4,5,6,128.056564,5.326,0.814389,,D2-label-1,thymine,thymine,C5H6N2O2,0.207943,0.714940,127.050247,1513.22,655.57,1717.08,1417.72,1156.96,1137.08,1447.82,2209.37,3452.12,3649.07,2830.59,3333.40,77.45,196.08
,4,6,1,129.054611,5.291,0.776097,,O18-label-1,thymine,thymine,C5H6N2O2,0.243040,1.182353,127.050247,1217.83,1541.46,1557.79,1358.91,2211.38,1497.49,1131.68,1613.86,3384.10,3505.65,2589.40,2972.87,115.32,218.16
,7,7,8,133.060822,13.613,0.753796,[M+H]+,C12 PARENT,3-Ureidopropionic acid,3-Ureidopropionic acid,C4H8N2O3,2.613362,0.344026,133.060822,36754.97,48133.46,59034.86,47421.39,60930.60,72083.55,87235.05,56503.36,156266.86,138567.02,61907.19,151828.58,378.20,378.52
,7,11,2,135.065231,13.618,0.743943,,O18-label-1,3-Ureidopropionic acid,3-Ureidopropionic acid,C4H8N2O3,2.617515,1.581631,133.060822,487.32,1844.23,299.54,249.96,952.34,580.72,1955.89,426.38,517.54,594.28,319.19,1640.00,130.26,96.09
,12,12,0,241.129364,13.894,0.075537,[M+H]+,C12 PARENT,Anserine,Anserine,C10H16N4O3,0.041550,0.632805,241.129364,103252.98,90036.81,103382.30,100040.10,102171.66,91009.59,79984.71,80093.99,90010.91,98078.50,63136.81,119099.74,346.19,273.24
,12,19,0,242.135971,13.903,0.057983,,D2-label-1,Anserine,Anserine,C10H16N4O3,0.033338,0.693192,241.129364,259.82,138.87,238.46,0.00,196.89,215.47,915.47,323.12,1169.96,73.46,581.03,243.52,211.41,148.23
,20,20,7,243.097641,5.337,0.826854,[M+H]+,C12 PARENT,thymidine,thymidine,C10H14N2O5,0.067079,0.376609,243.097641,29029.61,32176.49,70502.70,111660.54,88827.93,94304.84,41524.42,37650.22,89073.78,97671.41,73581.76,92077.40,193.22,243.56
,22,22,0,244.092667,9.106,0.154962,[M+H]+,C12 PARENT,cytidine,cytidine,C9H13N3O5,0.150161,0.562610,244.092667,6381.67,11494.40,9259.93,29948.42,14168.51,32138.35,2908.01,9342.75,7851.53,9117.12,10404.18,14033.45,0.00,81.40
,25,25,11,126.021858,10.767,0.833327,[M+H]+,C12 PARENT,taurine,taurine,C2H7NO3S,0.380147,0.665942,126.021858,34448628.00,42944652.00,30761240.00,36610788.00,33303398.00,32554006.00,30937106.00,37405312.00,28323722.00,35235380.00,22979918.00,38290820.00,1095.52,706.02
,25,30,6,127.028267,10.773,0.835310,,D2-label-1,taurine,taurine,C2H7NO3S,0.373587,0.360364,126.021858,12877.62,21140.76,17411.22,16629.35,16695.33,16575.23,245028.25,252090.20,160103.19,175632.00,83271.04,191100.56,0.00,0.00
,25,29,9,128.026230,10.749,0.842036,,O18-label-1,taurine,taurine,C2H7NO3S,0.398186,0.357555,126.021858,175645.48,256811.02,148802.55,189205.20,131224.52,150258.55,161328.56,208992.92,120782.59,174665.23,85947.85,185537.31,0.00,0.00
,31,31,7,132.076538,12.968,0.829963,[M+H]+,C12 PARENT,creatine,creatine,C4H9N3O2,0.043267,1.617416,132.076538,39528824.00,44924320.00,35089216.00,31957502.00,44594932.00,31030038.00,42866268.00,38567920.00,41282908.00,42285196.00,28189920.00,59934740.00,720.72,670.32
,31,37,0,133.082886,12.960,0.426595,,D2-label-1,creatine,creatine,C4H9N3O2,0.051364,1.146562,132.076538,30773.22,21727.02,15830.25,19675.10,32945.84,16876.72,313514.09,279045.28,264577.72,287113.97,125945.55,377005.78,0.00,0.00
,31,34,8,134.081085,12.964,0.829181,,O18-label-1,creatine,creatine,C4H9N3O2,0.046532,0.682817,132.076538,171974.12,209145.83,163535.42,152842.91,198494.31,143179.92,406291.66,360836.12,364017.09,373268.38,239797.44,491753.41,801.03,432.74
,40,40,0,137.070953,4.236,0.071991,[M+H]+,C12 PARENT,1-Methylnicotinamide,1-Methylnicotinamide,C7H8N2O,0.085664,0.111320,137.070953,522477.28,1242538.25,561780.56,1279895.88,1036387.31,1425588.00,486338.22,661579.88,408782.97,553805.62,669832.19,729660.25,10475.91,5483.30
,40,45,0,138.077118,4.225,0.107562,,D2-label-1,1-Methylnicotinamide,1-Methylnicotinamide,C7H8N2O,0.075191,0.773564,137.070953,292.96,185.42,0.00,1646.64,251.90,416.19,1482.39,4609.13,716.78,724.45,1958.40,1621.07,0.00,0.00
,46,46,12,138.054810,10.786,0.832800,[M+H]+,C12 PARENT,Trigonelline,Trigonelline,C7H7NO2,0.051807,1.105269,138.054810,22853714.00,16828412.00,61144148.00,62332640.00,58171580.00,76296056.00,35353344.00,24287266.00,56808884.00,61421236.00,52740608.00,69803720.00,1446.61,572.41
,46,47,11,139.061066,10.798,0.838333,,D2-label-1,Trigonelline,Trigonelline,C7H7NO2,0.040060,1.206998,138.054810,4807.90,4833.91,15042.03,20467.70,12684.44,14434.19,11609.22,6169.36,14240.14,15210.68,13791.70,19275.69,200.57,228.80
,46,51,11,140.059158,10.799,0.843148,,O18-label-1,Trigonelline,Trigonelline,C7H7NO2,0.038598,0.326836,138.054810,57948.78,43455.07,209499.17,231450.67,225887.55,285824.03,135616.88,78684.07,202803.75,247763.73,196890.55,282191.75,61.42,197.11
,52,52,0,146.117508,13.517,0.090991,[M+H]+,C12 PARENT,Acetylcholine,Acetylcholine,C7H15NO2,0.006373,0.313285,146.117508,4052678.25,4603260.00,5923132.00,6322600.00,5841170.50,5485984.50,5270312.50,5660734.00,6534124.50,6224449.50,5229727.50,6028730.50,763.51,678.13
,52,57,11,147.123245,13.511,0.846745,,D2-label-1,Acetylcholine,Acetylcholine,C7H15NO2,0.000375,4.044843,146.117508,1369.41,1546.03,2753.77,2496.79,1742.57,2639.27,2774.74,3729.74,5146.08,4586.68,5643.52,4162.97,0.00,0.00
