label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,1,2,3,4,5,6,7,8,blank_MeOH
,1,1,9,171.006165,13.851,0.773848,[M-H]-,C12 PARENT,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.291,1.427669,171.006165,14655.03,17580.21,18796.31,34566.34,19515.87,60081.02,13400.98,17600.22,1957.93
,1,2,3,172.009613,13.854,0.733868,,C13-label-1,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.294,0.798380,171.006165,616.92,344.29,608.69,1132.53,576.80,1433.96,173.04,341.50,0.00
,1,3,8,173.012878,13.832,0.762280,,C13-label-2,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.272,1.322916,171.006165,5263.16,8255.82,8729.57,8241.71,6917.41,7033.50,6258.58,4439.12,194.60
,1,4,8,174.016174,13.827,0.802948,,C13-label-3,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.267,1.666032,171.006165,359453.00,524176.91,359938.03,383284.09,397900.16,173271.30,414414.66,282970.41,0.00
,1,5,1,174.022430,13.837,0.560720,,C13D2-label-1-2,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.277,0.701464,171.006165,222.17,881.55,614.09,387.38,549.17,417.48,345.55,245.43,0.00
,1,6,5,176.034897,13.860,0.694567,,C13D2-label-1-4,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.300,0.173361,171.006165,3056.00,3316.04,3551.98,2806.41,2902.70,2465.70,2905.81,249.49,218.07
,1,7,0,176.032089,13.832,0.397389,,C13D2-label-2-3,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.272,0.866819,171.006165,0.00,349.49,1129.61,777.71,430.18,481.07,842.88,0.00,0.00
,1,8,7,175.022736,13.837,0.703409,,C13D2-label-3-1,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.277,0.000000,171.006165,798.36,1218.98,849.69,1103.53,1497.06,1389.73,691.66,780.74,127.28
,1,9,1,177.035507,13.820,0.584372,,C13D2-label-3-3,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.260,1.206669,171.006165,232.58,315.75,734.17,337.98,485.95,468.13,236.71,0.00,0.00
,1,10,7,178.041748,13.838,0.752474,,C13D2-label-3-4,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.278,1.028442,171.006165,7665.07,10564.97,10099.72,9631.24,12447.02,9864.34,7209.25,0.00,0.00
,1,11,0,174.025101,13.858,0.333777,,D2-label-3,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.298,0.701452,171.006165,272.89,184.02,411.43,163.29,418.91,335.15,392.27,395.01,0.00
,1,12,6,175.031189,13.839,0.772438,,D2-label-4,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.279,1.830725,171.006165,22316.02,36442.20,21861.93,10093.85,37965.18,23247.09,22390.79,631.33,0.00
,1,13,8,176.037506,13.812,0.785376,,D2-label-5,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.252,1.560223,171.006165,426240.75,432731.75,392289.78,297731.44,278724.22,227454.73,444000.16,12182.13,0.00
,1,14,0,177.043777,13.876,0.049938,,D2-label-6,Glycerol 3-phosphate,Glycerol 3-phosphate,C3H9O6P,0.316,1.637541,171.006165,130.59,205.18,0.00,0.00,227.52,191.24,195.91,0.00,0.00
